time	V(p2)	V(c5_ic)	V(reset)	V(vosc)	V(p1)	V(vout)	V(sam)
Step Information: Cin=1µ  (Run: 1/3)
3.500020000000001e-04	0.000000e+00	-7.799177e+00	0.000000e+00	7.022524e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.500020400000001e-04	0.000000e+00	-7.799177e+00	0.000000e+00	7.022524e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.500021200000001e-04	0.000000e+00	-7.799177e+00	0.000000e+00	7.022523e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.500022800000001e-04	0.000000e+00	-7.799177e+00	0.000000e+00	7.022521e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.500026000000001e-04	0.000000e+00	-7.799177e+00	0.000000e+00	7.022519e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.500032400000002e-04	0.000000e+00	-7.799177e+00	0.000000e+00	7.022512e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.500045200000003e-04	0.000000e+00	-7.799177e+00	0.000000e+00	7.022501e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.500070800000004e-04	0.000000e+00	-7.799177e+00	0.000000e+00	7.022477e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.565296500001835e-04	0.000000e+00	-7.799172e+00	0.000000e+00	6.960513e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.580498750000001e-04	0.000000e+00	-7.799171e+00	0.000000e+00	6.945664e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.580618750000003e-04	0.000000e+00	-7.799171e+00	0.000000e+00	6.945546e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.590708750000162e-04	0.000000e+00	-7.799170e+00	0.000000e+00	6.935553e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.590768750000163e-04	0.000000e+00	-7.799170e+00	0.000000e+00	6.935493e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.591968750000182e-04	0.000000e+00	-7.799170e+00	0.000000e+00	6.934299e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.595818750000242e-04	0.000000e+00	-7.799170e+00	0.000000e+00	6.930463e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.595878750000243e-04	0.000000e+00	-7.799170e+00	0.000000e+00	6.930403e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.598368750000283e-04	0.000000e+00	-7.799170e+00	0.000000e+00	6.927916e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.598428750000284e-04	0.000000e+00	-7.799170e+00	0.000000e+00	6.927855e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.598988750000292e-04	0.000000e+00	-7.799170e+00	0.000000e+00	6.927295e+00	0.000000e+00	-7.798480e+00	0.000000e+00
